"","1028","1101","1102","1103","1104","1106","1107","1108","1109","1110","1111","1112","1113","1114","1115","1116","1119","1120","1121","1122","1123","1124","1127","2000","2001","2002","2003","2005","2006","2008","2009","2010","2012","2013","2014","2015","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2033","2035","2038","2039","2041","2044","2046","2047","2052","2053","2055","2521","2568","2587","2612","2617","2655","3001","3002","3003","3004","3005","3006","3007","3009","3010","3011","3013","3014","3020","3023","3027","3030","3031","3032","3033","3040","3042","3044","3046","3047","3049","3050","3059","3063","3065","3068","3070","3075","3076","3078","3082","3083","3084","3085","3089","3090","3092","3109","3116","3122","3123","3133","3134","3135","3147"
"1028",0,0.002,0.013,0.022,0.022,0.012,0.007,0.001,0.97,0.001,0.112,0.046,0.029,0.004,0.077,0.067,0.005,0.044,0.019,0.001,0.002,0.916,0.55,0.02,0.997,0.007,0.009,0.003,0.013,0.004,0.039,0.007,0.003,0.016,0.001,0.001,0.038,0.051,0.012,0.995,0.005,0.006,0.003,0.008,0.001,0.004,0.006,0.03,0.993,0.998,0.015,0.011,0.005,0.023,0.002,0.004,0.988,1,0.001,0.011,0.012,0.001,0.015,0.012,0.006,0.013,0.001,0.015,0.003,0.006,0.002,0.003,0.008,0.005,0.042,0.004,0.004,0.002,0.003,0.016,0.005,0.007,0.001,0.007,0.005,0.003,0.008,0.023,0.019,0.995,0.052,0.053,0.004,0.015,0.011,0.051,0.01,0.002,0.009,0.002,0.001,0,0.009,0.001,0.002,0.001,0.012,0.006,0.003,0.017,0.053,0.002
"1101",0.001,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0,0,0.997,0.001,0.001,0.001,0,0.008,0,0.002,0.998,0.011,0.016,0,0,0.006,0.003,0.002,0.001,0.003,0.002,0.002,0.002,0.001,0.001,0,0.001,0.002,0.001,0.001,0.005,0,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0,0.001,0.001,1,0.001,0,0.011,0.006,0.002,0,0.001,0.004,0,0.001,0.033,0.005,0.008,0.001,0.001,0.002,0.002,0.002,0.003,0.001,0.107,0.001,0.001,0.001,0.001,0,0.002,0.021,0.001,0.002,0.003,0,0,0.001,0.002,0,0,0.001,0,0,0,0,0.001,0.001,0.003,0.002,0.001
"1102",0.009,0.025,0,0.274,0.337,0.043,0.003,0,0.009,0,0.995,0.007,0.004,0.001,0.996,0.066,0.001,0.996,0.224,0,0.053,0.001,0.009,0.002,0.017,0.005,0.004,0.004,0.05,0.003,0.921,0.937,0.018,0.104,0.001,0.004,0.03,0.039,0.003,0.006,0.023,0.012,0.007,0.013,0.002,0.006,0.003,0.022,0.009,0.955,0.007,0.036,0.002,0.017,0.002,0.004,0.002,0.006,0.001,0.004,0.002,0.001,0.009,0.007,0.094,0.001,0.001,0.991,0.01,0.023,0.001,0.001,0.027,0.007,0.005,0.987,0.033,0.013,0.007,0.009,0.003,0.015,0.003,0.019,0.006,0.003,0.009,0.01,0.009,0.005,0.012,0.051,0.044,0.006,0.004,0.048,0.001,0,0.017,0.003,0.001,0,0.016,0.001,0.003,0,0.002,0.004,0.002,0.006,0.05,0.001
"1103",0.003,0,0.996,0,0.02,1,0.073,0.011,0.997,0.005,1,0.1,0.995,0.005,0.006,0.006,0.008,0.006,1,0.01,0.001,0.008,0.128,0.003,0.03,0.04,0.004,0.004,0.001,0.002,0.003,0,0.001,0.002,0.001,0.002,0.016,0.006,0.004,0.001,0.878,0,0,0,0,0,0.004,0.003,0.044,0.002,0,0,0.003,0.002,0,0,0.002,0.002,0.001,0,0.01,0.001,0.001,0,0,0.002,0.001,0.001,0.001,0.001,0.001,0,0,0.008,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.002,0.007,1,0,0,0.003,0.003,0.01,0.007,0,0,0,0.001,0.039,0,0.001,0.005,0.003,0.007,0.005,0.012,0.003,0.004
"1104",0.012,0.001,0.999,0.078,0,0.988,0.024,0.021,0.993,0.012,1,0.28,0.065,0.043,1,1,0.015,1,0.951,0.022,0.001,0.011,0.333,0.008,0.014,0.03,0.038,0.009,0.003,0.02,0.033,0.002,0.001,0.008,0.003,0.007,0.012,0.011,0.004,0.007,0.001,0.001,0.001,0.002,0,0.001,0.026,0.008,0.008,0.019,0.004,0.003,0.02,0.006,0,0.001,0.035,0.01,0.002,0.003,0.01,0.007,0.004,0.003,0.002,0.005,0.003,0.008,0.001,0.002,0.007,0.001,0.002,0.004,0.016,0.001,0.001,0,0.001,0.004,0.001,0.002,0,0.001,0.001,0.001,0.002,0.006,0.005,0.018,1,0.985,0.036,0.004,0.039,0.996,0.161,0.016,0.002,0,0.004,0.001,0.018,0.002,0.006,0.012,0.025,0.028,0.023,0.012,0.997,0.009
"1106",0.003,0,0.005,0.902,0.022,0,1,0.016,0.999,0.007,1,1,0.123,0.067,0.004,0.005,0.001,0.004,0.082,0.002,0.001,0.002,0.998,0.001,0.022,0.028,0.017,0.033,0.001,0.016,0.004,0.001,0,0.002,0.003,0.008,0.004,0.007,0,0.001,0.002,0,0,0,0,0,0.016,0.003,0.004,0.002,0,0,0.012,0.003,0,0,0.001,0.002,0.002,0,0.001,0.007,0,0,0,0,0.002,0.002,0,0.001,0.006,0,0,0.455,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.003,0.005,0.993,0,0,0.001,0.004,0.012,0.004,0,0,0.004,0.002,0.22,0.003,0.004,0.001,0.005,0.023,0.009,0.002,0.005,0.004
"1107",0.001,0,0.001,0.122,0.015,0.936,0,0.017,0.999,0.034,1,1,0.031,0.026,0.004,0.005,0.001,0.005,0.023,0.002,0,0.006,0.991,0.001,0.012,0.014,0.018,0.018,0.001,0.017,0.015,0.001,0,0.002,0.003,0.008,0.002,0.004,0,0.004,0,0,0,0,0,0,0.012,0.002,0.002,0.036,0,0,0.009,0.001,0,0,0.002,0.004,0.002,0,0.023,0.008,0,0,0,0.002,0.002,0.002,0,0.001,0.006,0,0,0.3,0.007,0,0,0.031,0,0,0,0,0,0,0,0,0,0.001,0.001,0.029,0.006,0.077,0,0,0.001,0.005,0.009,0.004,0,0,0.004,0.002,0.1,0.044,0.004,0.001,0.004,0.036,0.009,0.002,0.005,0.004
"1108",0.001,0,0,0.044,0.01,0.035,0.038,0,0.013,0.022,0.014,0.016,0.02,0.061,0.876,0.003,0.003,0.003,0.004,0.009,0,0.003,0.008,0.002,0.001,0.043,0.012,0.006,0,0.012,0.003,0,0.002,0.994,0.01,0.013,0.006,0.001,0.007,0,0,0,0,0.891,0.001,0,0.006,0.001,0.006,0.002,0.001,0.001,0.004,0,0,0,0.001,0.003,0.003,0,0.007,0.005,0.003,0.001,0,0.001,0.007,0.001,0.112,0,0.004,0.001,0,0.002,0.001,0,0,0,0,0.936,0,0.885,0.001,0,0,0,0,0.98,0.002,0.001,0.004,0.026,0,0,0.003,0.003,0.006,0.012,0,0.009,0.003,0.005,0.012,0.002,0.003,0.003,0.003,0.038,0.026,0.014,0.003,0.101
"1109",0.009,0,0.002,0.077,0.052,0.999,0.997,0.004,0,0.006,1,1,1,0.016,0.044,0.013,0.001,0.012,0.026,0.001,0,0.001,1,0.001,0.004,0.021,0.012,0.008,0,0.009,0.003,0,0,0.001,0.001,0.003,0.003,0.003,0,0.001,0,0,0,0,0,0,0.012,0.002,0.001,0.002,0,0,0.009,0.001,0,0,0,0.002,0.001,0,0.001,0.003,0,0,0,0,0.001,0.001,0,0.001,0.003,0,0,0.006,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.015,0.063,0,0,0.001,0.007,0.005,0.003,0,0,0.002,0.001,0.032,0.001,0.002,0.001,0.003,0.012,0.01,0.002,0.007,0.003
